#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1	1029	+	ICBHIB_00001	35.0	5.7		
contig_1	5262	6161	-	ICBHIB_00004	32.7	5.3	PF00395.25|SLH	PFAM:PF00395.25
contig_1	30216	31193	-	ICBHIB_00022	35.0	8.7	PF09335.16|VTT_dom	PFAM:PF09335.16, SO:0001217, UniRef:UniRef50_D7GFN6
contig_1	38407	38808	-	ICBHIB_00028	14.0	4.5		
contig_1	61917	62288	-	ICBHIB_00049	12.4	5.4	PF00364.28|Biotin_lipoyl, PF13533.12|Biotin_lipoyl_2	PFAM:PF00364.28, PFAM:PF13533.12
contig_1	84970	85317	-	ICBHIB_00067	12.5	9.1		
contig_1	97671	98963	+	ICBHIB_00077	43.7	11.6		SO:0001217, UniRef:UniRef50_D7GFU3
contig_1	100409	100576	+	ICBHIB_00079	6.1	8.0		
contig_1	100537	100812	-	ICBHIB_00080	9.0	5.9		
contig_1	102318	102944	-	ICBHIB_00082	23.1	11.6		
contig_1	118587	118802	-	ICBHIB_00094	7.6	11.9		
contig_1	127637	127816	+	ICBHIB_00103	5.9	10.0		
contig_1	133434	133625	+	ICBHIB_00109	7.1	4.9		
contig_1	145463	145831	-	ICBHIB_00120	13.0	7.8		
contig_1	145933	146307	-	ICBHIB_00121	13.3	4.3		
contig_1	146857	147804	+	ICBHIB_00122	35.1	4.9		
contig_1	153716	153931	+	ICBHIB_00126	8.6	5.6		
contig_1	158358	158756	-	ICBHIB_00132	13.9	4.6	PF01266.30|DAO	PFAM:PF01266.30
contig_1	158710	159612	-	ICBHIB_00133	31.9	6.2	PF00070.33|Pyr_redox, PF01266.30|DAO, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF00070.33, PFAM:PF01266.30, PFAM:PF07992.20, PFAM:PF13450.12
contig_1	160950	161123	+	ICBHIB_00135	5.8	4.2		
contig_1	163609	165294	+	ICBHIB_00138	60.4	7.9	PF01266.30|DAO, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF01266.30, PFAM:PF07992.20, PFAM:PF13450.12
contig_1	174635	174859	-	ICBHIB_00148	7.5	4.1		
contig_1	175647	176204	-	ICBHIB_00149	19.6	5.6		
contig_1	182553	183824	-	ICBHIB_00154	45.4	5.1		
contig_1	183974	185323	+	ICBHIB_00155	48.4	5.6		
contig_1	189754	190272	-	ICBHIB_00161	18.9	4.6	PF04266.20|ASCH	PFAM:PF04266.20
contig_1	199543	200073	+	ICBHIB_00170	18.7	5.8		
contig_1	201003	201617	+	ICBHIB_00172	22.9	4.6	PF00702.32|Hydrolase	PFAM:PF00702.32
contig_1	202146	202601	-	ICBHIB_00174	16.0	9.9		
contig_1	203152	203241	-	ICBHIB_00176	3.1	10.7		
contig_1	203269	203919	-	ICBHIB_00177	22.9	5.4	PF02245.21|Pur_DNA_glyco	PFAM:PF02245.21
contig_1	212080	212718	-	ICBHIB_00185	23.3	5.5	PF00440.29|TetR_N	PFAM:PF00440.29
contig_1	216024	216665	-	ICBHIB_00190	22.9	10.1	PF04977.20|DivIC	PFAM:PF04977.20
contig_1	219005	219538	-	ICBHIB_00193	18.3	6.2		
contig_1	223434	223799	-	ICBHIB_00195	12.7	4.8		
contig_1	234735	237122	-	ICBHIB_00207	82.2	6.2	PF14498.12|Glyco_hyd_65N_2, PF21307.2|Glyco_hydro_95_C, PF22124.2|Glyco_hydro_95_cat	PFAM:PF14498.12, PFAM:PF21307.2, PFAM:PF22124.2, SO:0001217, UniRef:UniRef50_D7GFE8
contig_1	241788	242309	-	ICBHIB_00211	18.5	4.5		
contig_1	243926	244459	+	ICBHIB_00213	19.4	6.8	PF00582.32|Usp	PFAM:PF00582.32
contig_1	244869	245255	+	ICBHIB_00215	13.0	10.6		
contig_1	245315	245788	+	ICBHIB_00216	17.1	5.3	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	250462	251055	+	ICBHIB_00220	21.4	6.0	PF00440.29|TetR_N, PF17754.6|TetR_C_14	PFAM:PF00440.29, PFAM:PF17754.6
contig_1	256219	256428	-	ICBHIB_00227	7.2	9.3		
contig_1	256476	257255	-	ICBHIB_00228	27.0	10.9		SO:0001217, UniRef:UniRef50_D7GFH2
contig_1	259412	259975	+	ICBHIB_00231	20.4	9.9		SO:0001217, UniRef:UniRef50_A0A087CJ67
contig_1	260022	260573	+	ICBHIB_00232	20.2	10.8		
contig_1	261474	261893	-	ICBHIB_00233	15.8	11.1		
contig_1	273320	274054	-	ICBHIB_00243	26.3	5.0		SO:0001217, UniRef:UniRef50_D7GFJ1
contig_1	274944	275189	+	ICBHIB_00245	8.7	4.9		
contig_1	282246	282656	-	ICBHIB_00254	14.4	5.3		
contig_1	284597	284929	+	ICBHIB_00257	11.9	4.7		
contig_1	287176	287511	-	ICBHIB_00261	12.2	4.2	PF00085.26|Thioredoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF13098.12, PFAM:PF13905.12
contig_1	289645	290031	-	ICBHIB_00264	12.5	12.0		
contig_1	291801	292142	+	ICBHIB_00266	12.1	9.8		
contig_1	292220	292999	-	ICBHIB_00267	27.7	4.7		
contig_2	5754	6938	+	ICBHIB_00273	39.6	8.8	PF02687.27|FtsX, PF12704.14|MacB_PCD	PFAM:PF02687.27, PFAM:PF12704.14
contig_2	6911	7258	+	ICBHIB_00274	10.7	11.4		
contig_2	10189	10809	-	ICBHIB_00278	21.5	9.4		
contig_2	15471	16013	+	ICBHIB_00283	19.2	5.0	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_3	5737	6027	-	ICBHIB_00290	10.0	4.9		
contig_3	14718	16022	+	ICBHIB_00299	45.6	9.2		SO:0001217, UniRef:UniRef50_D7GII9
contig_3	25685	26437	-	ICBHIB_00306	26.9	4.8		SO:0001217, UniRef:UniRef50_D7GIJ6
contig_3	40233	42059	-	ICBHIB_00315	65.3	10.0		SO:0001217, UniRef:UniRef50_D7GIK5
contig_3	42231	42674	+	ICBHIB_00316	15.6	4.5		
contig_3	42671	42946	+	ICBHIB_00317	10.2	6.0		
contig_3	43010	43774	+	ICBHIB_00318	26.0	5.4		
contig_3	52785	53090	-	ICBHIB_00327	10.8	5.7	PF07553.16|Lipoprotein_Ltp	PFAM:PF07553.16
contig_3	54509	54940	-	ICBHIB_00329	14.3	9.4		
contig_3	60667	60897	+	ICBHIB_00334	8.4	4.1		
contig_3	60938	61456	-	ICBHIB_00335	18.1	6.8		
contig_3	64332	65030	+	ICBHIB_00337	24.2	11.3		
contig_3	73586	74689	+	ICBHIB_00344	40.5	6.0	PF00342.24|PGI, PF09179.16|TilS	PFAM:PF00342.24, PFAM:PF09179.16
contig_3	75478	77937	+	ICBHIB_00346	88.9	5.3	PF13245.12|AAA_19, PF13401.12|AAA_22, PF13604.12|AAA_30	PFAM:PF13245.12, PFAM:PF13401.12, PFAM:PF13604.12
contig_3	80260	80634	+	ICBHIB_00350	13.5	4.8	PF02152.23|FolB	PFAM:PF02152.23
contig_3	81750	82106	+	ICBHIB_00352	13.0	9.7	PF11774.14|Lsr2, PF23359.1|Lsr2_DNA-bd	PFAM:PF11774.14, PFAM:PF23359.1
contig_3	86319	87074	-	ICBHIB_00355	26.0	5.0	PF01487.21|DHquinase_I	PFAM:PF01487.21
contig_3	102425	103084	+	ICBHIB_00370	24.3	7.2	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_3	119631	120431	-	ICBHIB_00386	28.1	4.6	PF03446.21|NAD_binding_2	PFAM:PF03446.21
contig_3	132472	132744	+	ICBHIB_00395	9.7	6.0	PF00746.26|Gram_pos_anchor, PF17802.7|SpaA	PFAM:PF00746.26, PFAM:PF17802.7
contig_3	134527	134703	-	ICBHIB_00397	6.9	10.8		
contig_3	135096	135515	+	ICBHIB_00398	15.5	6.1		
contig_3	135502	135702	+	ICBHIB_00399	7.3	4.3		
contig_3	135883	136182	+	ICBHIB_00400	10.9	4.1		SO:0001217, UniRef:UniRef50_D7GIG7
contig_3	141296	141571	-	ICBHIB_00403	10.2	4.4		
contig_3	142029	142778	+	ICBHIB_00404	26.2	6.4	PF07510.16|GmrSD_C	PFAM:PF07510.16
contig_3	142868	143110	+	ICBHIB_00405	8.7	5.8		SO:0001217, UniRef:UniRef50_D7GIH2
contig_3	146242	146748	-	ICBHIB_00409	18.4	4.2		SO:0001217, UniRef:UniRef50_D7GIH6
contig_3	148233	148379	+	ICBHIB_00410	5.1	6.5		
contig_3	148376	148576	+	ICBHIB_00411	6.6	5.4		
contig_4	14228	14683	+	ICBHIB_00423	16.7	6.9	PF01047.28|MarR	PFAM:PF01047.28
contig_4	15753	18539	+	ICBHIB_00425	101.2	6.3		
contig_4	22305	22931	+	ICBHIB_00430	22.5	8.7		
contig_4	24299	25069	+	ICBHIB_00432	28.0	5.1	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_4	25066	25449	+	ICBHIB_00433	14.1	4.6		
contig_4	25449	26057	+	ICBHIB_00434	21.6	5.3	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_4	27893	28633	-	ICBHIB_00438	25.3	5.1		
contig_4	40485	41147	-	ICBHIB_00446	24.3	11.5		
contig_4	46748	47524	+	ICBHIB_00452	27.9	5.2		
contig_4	55324	55815	+	ICBHIB_00460	17.4	10.8		
contig_4	61465	62073	+	ICBHIB_00466	22.3	5.3		SO:0001217, UniRef:UniRef50_A0A1H9Q6B8
contig_4	62184	62318	+	ICBHIB_00467	4.7	9.9		
contig_4	77753	78097	+	ICBHIB_00483	12.3	5.3	PF02288.20|Dehydratase_MU	PFAM:PF02288.20
contig_4	78114	78365	+	ICBHIB_00484	8.5	7.9	PF00936.24|BMC	PFAM:PF00936.24
contig_4	79113	79376	-	ICBHIB_00485	8.9	5.0	PF00936.24|BMC	PFAM:PF00936.24
