#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1	1530	+	BPMOEK_00001	55.7	9.0	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4	PFAM:PF04542.20, PFAM:PF04545.22
contig_1	2728	2919	-	BPMOEK_00003	6.8	8.6	PF24254.1|DUF7455	PFAM:PF24254.1
contig_1	13860	14180	-	BPMOEK_00012	11.1	9.4		
contig_1	15288	15668	+	BPMOEK_00014	13.8	10.7		
contig_1	20358	20618	+	BPMOEK_00019	9.3	6.3	PF20555.3|DUF6767	PFAM:PF20555.3
contig_1	22370	23077	-	BPMOEK_00022	24.2	5.1		
contig_1	23059	23343	-	BPMOEK_00023	9.8	5.2		
contig_1	29891	30421	+	BPMOEK_00028	19.1	9.0		SO:0001217, UniRef:UniRef50_A0A7X7V7E9
contig_1	33873	34472	-	BPMOEK_00031	21.8	4.5		
contig_1	46474	47208	+	BPMOEK_00048	25.9	5.3		
contig_1	48357	49091	+	BPMOEK_00051	27.1	9.0		
contig_1	49093	49554	+	BPMOEK_00052	16.6	4.1	PF02577.19|BFN_dom	PFAM:PF02577.19
contig_1	57837	58451	-	BPMOEK_00058	22.4	9.0	PF00440.29|TetR_N	PFAM:PF00440.29
contig_1	59994	62579	-	BPMOEK_00061	90.5	6.0	PF00155.27|Aminotran_1_2, PF01656.29|CbiA, PF07685.20|GATase_3, PF13500.12|AAA_26	PFAM:PF00155.27, PFAM:PF01656.29, PFAM:PF07685.20, PFAM:PF13500.12
contig_1	63172	64617	-	BPMOEK_00063	51.7	4.9	PF01656.29|CbiA, PF07685.20|GATase_3, PF13500.12|AAA_26	PFAM:PF01656.29, PFAM:PF07685.20, PFAM:PF13500.12
contig_1	68129	68986	+	BPMOEK_00067	29.9	4.7		
contig_1	69259	69963	+	BPMOEK_00069	24.6	10.1		
contig_1	70070	71026	-	BPMOEK_00070	32.7	5.2		
contig_1	72834	73166	-	BPMOEK_00072	11.5	6.8		
contig_1	74069	75937	+	BPMOEK_00074	68.2	6.2	PF01807.25|Zn_ribbon_DnaG, PF08275.17|DNAG_N, PF08278.16|DnaG_DnaB_bind, PF10410.14|DnaB_bind, PF13662.12|Toprim_4	PFAM:PF01807.25, PFAM:PF08275.17, PFAM:PF08278.16, PFAM:PF10410.14, PFAM:PF13662.12
contig_1	76944	77510	+	BPMOEK_00076	20.4	5.6		SO:0001217, UniRef:UniRef50_D7GDW6
contig_1	79279	79701	+	BPMOEK_00079	14.6	7.8		
contig_1	91708	92568	+	BPMOEK_00092	30.4	5.0	PF00218.27|IGPS, PF01070.24|FMN_dh	PFAM:PF00218.27, PFAM:PF01070.24
contig_1	101809	102480	-	BPMOEK_00098	22.6	11.4	PF03729.18|DUF308	PFAM:PF03729.18, SO:0001217, UniRef:UniRef50_D7GDU5
contig_1	105978	106283	+	BPMOEK_00100	10.8	5.2		
contig_1	117312	117551	+	BPMOEK_00109	8.3	4.2		
contig_1	124710	124985	+	BPMOEK_00116	9.7	8.3		
contig_1	125877	126632	+	BPMOEK_00118	26.3	4.5		
contig_1	127704	128114	+	BPMOEK_00120	13.7	5.0	PF00254.34|FKBP_C	PFAM:PF00254.34
contig_1	135927	136106	+	BPMOEK_00129	6.4	4.2	PF19279.4|YegS_C	PFAM:PF19279.4
contig_1	148184	148771	-	BPMOEK_00140	20.8	5.0		
contig_1	173911	174078	-	BPMOEK_00162	6.5	5.5		
contig_1	175508	176122	+	BPMOEK_00164	22.6	9.6	PF02631.22|RecX_HTH2, PF21982.2|RecX_HTH1	PFAM:PF02631.22, PFAM:PF21982.2
contig_1	176284	177819	+	BPMOEK_00165	55.8	5.3	PF00013.35|KH_1, PF12072.13|RNase_Y_N	PFAM:PF00013.35, PFAM:PF12072.13
